restriction_set,shock,variable,h,q16,q50,q84
baseline,real_yield,spx,11,-0.007699269083307462,-0.005190677426750217,-0.0023060368498251534
baseline,real_yield,spx,12,-0.007699269083495801,-0.005190677427056382,-0.0023060368504074845
baseline,real_yield,spx,13,-0.007699269083471027,-0.005190677427006943,-0.002306036850300221
baseline,real_yield,spx,14,-0.00769926908347429,-0.005190677427014939,-0.002306036850319998
baseline,real_yield,spx,15,-0.00769926908347386,-0.005190677427013647,-0.0023060368503163525
baseline,real_yield,spx,16,-0.007699269083473917,-0.005190677427013856,-0.0023060368503170243
baseline,real_yield,spx,17,-0.007699269083473909,-0.005190677427013822,-0.0023060368503169007
baseline,real_yield,spx,18,-0.007699269083473911,-0.005190677427013828,-0.0023060368503169237
baseline,real_yield,spx,19,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169193
baseline,real_yield,spx,20,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,21,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,22,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,23,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,24,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,25,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,26,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,27,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,28,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,29,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,30,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,31,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,32,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,33,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,34,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,35,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,36,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,37,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,38,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,39,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,40,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,41,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,42,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,43,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,44,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,45,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,46,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
baseline,real_yield,spx,47,-0.00769926908347391,-0.0051906774270138265,-0.0023060368503169198
